date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:55:44	78255/78255	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:44%20GMT	https://epaper.jugasankha.in/2733188/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2733188/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:45	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:44%20GMT	https://epaper.jugasankha.in/r/2732306	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2732306	(from https://epaper.jugasankha.in/t/31264)
23:55:45	78257/78257	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:45%20GMT	https://epaper.jugasankha.in/2732306/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2732306/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:45	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:45%20GMT	https://epaper.jugasankha.in/r/2732172	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2732172	(from https://epaper.jugasankha.in/t/31264)
23:55:46	78259/78259	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:46%20GMT	https://epaper.jugasankha.in/2732172/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2732172/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:46	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:46%20GMT	https://epaper.jugasankha.in/r/2730874	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2730874	(from https://epaper.jugasankha.in/t/31264)
23:55:47	78304/78304	---M-Z	200	added ('OK')	text/html	etag:W/%225f11eba6-131e0%22	https://epaper.jugasankha.in/2730874/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2730874/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:47	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:47%20GMT	https://epaper.jugasankha.in/r/2729765	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2729765	(from https://epaper.jugasankha.in/t/31264)
23:55:48	78259/78259	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:47%20GMT	https://epaper.jugasankha.in/2729765/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2729765/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:48	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:48%20GMT	https://epaper.jugasankha.in/r/2728706	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2728706	(from https://epaper.jugasankha.in/t/31264)
23:55:48	78259/78259	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:48%20GMT	https://epaper.jugasankha.in/2728706/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2728706/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:49	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:48%20GMT	https://epaper.jugasankha.in/r/2727149	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2727149	(from https://epaper.jugasankha.in/t/31264)
23:55:49	78259/78259	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:49%20GMT	https://epaper.jugasankha.in/2727149/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2727149/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:49	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:49%20GMT	https://epaper.jugasankha.in/r/2726064	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2726064	(from https://epaper.jugasankha.in/t/31264)
23:55:50	78259/78259	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:50%20GMT	https://epaper.jugasankha.in/2726064/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2726064/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:50	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:50%20GMT	https://epaper.jugasankha.in/r/2724924	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2724924	(from https://epaper.jugasankha.in/t/31264)
23:55:51	78259/78259	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:51%20GMT	https://epaper.jugasankha.in/2724924/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2724924/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:51	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:51%20GMT	https://epaper.jugasankha.in/r/2723638	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2723638	(from https://epaper.jugasankha.in/t/31264)
23:55:52	78254/78254	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:51%20GMT	https://epaper.jugasankha.in/2723638/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2723638/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:52	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:52%20GMT	https://epaper.jugasankha.in/r/2722436	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2722436	(from https://epaper.jugasankha.in/t/31264)
23:55:52	78230/78230	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:52%20GMT	https://epaper.jugasankha.in/2722436/SILCHAR-EDITION/KOLKATA#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2722436/SILCHAR-EDITION/KOLKATA#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:53	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:52%20GMT	https://epaper.jugasankha.in/r/2721439	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2721439	(from https://epaper.jugasankha.in/t/31264)
23:55:53	78254/78254	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:53%20GMT	https://epaper.jugasankha.in/2721439/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2721439/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:54	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:53%20GMT	https://epaper.jugasankha.in/r/2720156	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2720156	(from https://epaper.jugasankha.in/t/31264)
23:55:54	78235/78235	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:54%20GMT	https://epaper.jugasankha.in/2720156/SILCHAR-EDITION/KOLKATAC#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2720156/SILCHAR-EDITION/KOLKATAC#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:54	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:54%20GMT	https://epaper.jugasankha.in/r/2718687	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2718687	(from https://epaper.jugasankha.in/t/31264)
23:55:55	78259/78259	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:55%20GMT	https://epaper.jugasankha.in/2718687/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2718687/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:55	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:55%20GMT	https://epaper.jugasankha.in/r/2751466	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2751466	(from https://epaper.jugasankha.in/t/31318)
